20:23:20.424 -> A, B, C
20:24:29.804 -> 1079, 1016, 797
20:24:29.837 -> 1081, 1009, 800
20:24:29.904 -> 1079, 1014, 799
20:24:29.937 -> 1079, 1012, 799
20:24:30.004 -> 1083, 1012, 797
20:24:30.037 -> 1078, 1014, 798
20:24:30.104 -> 1076, 1008, 798
20:24:30.137 -> 1076, 1014, 796
20:24:30.203 -> 1081, 1015, 796
20:24:30.270 -> 1080, 1015, 795
20:24:30.303 -> 1090, 1014, 797
20:24:30.370 -> 1080, 1012, 798
20:24:30.403 -> 1076, 1014, 799
20:24:30.470 -> 1079, 1014, 797
20:24:30.503 -> 1083, 1013, 799
20:24:30.569 -> 1076, 1016, 799
20:24:30.602 -> 1077, 1009, 800
20:24:30.669 -> 1079, 1014, 795
20:24:30.702 -> 1077, 1017, 797
20:24:30.769 -> 1075, 1020, 797
20:24:30.802 -> 1076, 1016, 799
20:24:30.868 -> 1079, 1016, 799
20:24:30.902 -> 1081, 1014, 795
20:24:30.968 -> 1080, 1015, 798
20:24:31.035 -> 1077, 1013, 795
20:24:31.068 -> 1079, 1015, 797
20:24:31.134 -> 1080, 1018, 792
20:24:31.168 -> 1080, 1035, 800
20:24:31.234 -> 1081, 1014, 798
20:24:31.267 -> 1087, 1015, 796
20:24:31.334 -> 1082, 1036, 804
20:24:31.367 -> 1077, 1012, 798
20:24:31.434 -> 1079, 1013, 802
20:24:31.467 -> 1079, 1017, 799
20:24:31.534 -> 1076, 1014, 798
20:24:31.567 -> 1086, 1015, 801
20:24:31.633 -> 1081, 1015, 800
20:24:31.667 -> 1083, 1012, 801
20:24:31.733 -> 1080, 1013, 797
20:24:31.799 -> 1078, 1015, 799
20:24:31.833 -> 1082, 1017, 799
20:24:31.899 -> 1077, 1013, 798
20:24:31.932 -> 1079, 1013, 794
20:24:31.999 -> 1082, 1017, 796
20:24:32.032 -> 1081, 1009, 799
20:24:32.098 -> 1075, 1014, 800
20:24:32.132 -> 1080, 1018, 795
20:24:32.198 -> 1078, 1013, 798
20:24:32.231 -> 1080, 1018, 800
20:24:32.298 -> 1076, 988, 800
20:24:32.331 -> 1082, 1016, 802
20:24:32.398 -> 1080, 1011, 803
20:24:32.431 -> 1078, 1014, 799
20:24:32.497 -> 1081, 1014, 797
20:24:32.564 -> 1078, 1016, 801
20:24:32.597 -> 1078, 1014, 795
20:24:32.664 -> 1077, 1013, 800
20:24:32.697 -> 1082, 1013, 794
20:24:32.763 -> 1078, 1014, 799
20:24:32.797 -> 1083, 1012, 797
20:24:32.863 -> 1083, 1015, 799
20:24:32.896 -> 1075, 1013, 799
20:24:32.963 -> 1081, 1011, 800
20:24:32.996 -> 1078, 1014, 800
20:24:33.062 -> 1080, 1014, 800
20:24:33.095 -> 1079, 1015, 799
20:24:33.162 -> 1078, 1016, 798
20:24:33.195 -> 1082, 1014, 799
20:24:33.262 -> 1082, 1015, 797
20:24:33.328 -> 1080, 1015, 795
20:24:33.361 -> 1081, 1019, 798
20:24:33.428 -> 1077, 1016, 793
20:24:33.461 -> 1219, 1015, 804
20:24:33.527 -> 1078, 1014, 797
20:24:33.561 -> 1076, 1017, 797
20:24:33.627 -> 1078, 1014, 798
20:24:33.660 -> 1084, 1014, 800
20:24:33.727 -> 1081, 1010, 799
20:24:33.760 -> 1079, 1013, 795
20:24:33.826 -> 1081, 1015, 801
20:24:33.860 -> 1088, 1013, 798
20:24:33.926 -> 1081, 1017, 798
20:24:33.993 -> 1078, 1013, 798
20:24:34.026 -> 1096, 1011, 796
20:24:34.092 -> 1079, 1013, 800
20:24:34.125 -> 1078, 1011, 801
20:24:34.192 -> 1077, 1016, 800
20:24:34.225 -> 1082, 1015, 798
20:24:34.292 -> 1083, 1018, 802
20:24:34.325 -> 1078, 1015, 799
20:24:34.391 -> 1077, 1014, 801
20:24:34.425 -> 1084, 1007, 794
20:24:34.491 -> 1078, 1017, 797
20:24:34.524 -> 1074, 1018, 794
20:24:34.591 -> 1082, 1013, 797
20:24:34.624 -> 1079, 1053, 798
20:24:34.690 -> 1083, 1014, 794
20:24:34.757 -> 1078, 1015, 796
20:24:34.790 -> 1079, 1013, 799
20:24:34.857 -> 1081, 1017, 800
20:24:34.890 -> 1081, 1014, 802
20:24:34.956 -> 1082, 1011, 800
20:24:34.990 -> 1083, 1016, 795
20:24:35.056 -> 1085, 1009, 798
20:24:35.089 -> 1081, 1002, 800
20:24:35.156 -> 1078, 1014, 798
20:24:35.189 -> 1076, 1015, 800
20:24:35.256 -> 1079, 1015, 799
20:24:35.289 -> 1078, 1016, 796
20:24:35.356 -> 1078, 1017, 798
20:24:35.389 -> 1077, 1014, 797
20:24:35.456 -> 1075, 1015, 800
20:24:35.522 -> 1079, 1012, 799
20:24:35.555 -> 1079, 1012, 798
20:24:35.622 -> 1080, 1013, 799
20:24:35.655 -> 1077, 1013, 799
20:24:35.721 -> 1083, 1018, 800
20:24:35.755 -> 1079, 989, 800
20:24:35.821 -> 1087, 1012, 799
20:24:35.854 -> 1084, 1014, 797
20:24:35.921 -> 1079, 1013, 797
20:24:35.954 -> 1079, 1015, 797
20:24:36.021 -> 1078, 1026, 799
20:24:36.054 -> 1080, 1013, 798
20:24:36.120 -> 1076, 1014, 798
20:24:36.154 -> 1076, 1013, 800
20:24:36.220 -> 1117, 1014, 799
20:24:36.287 -> 1082, 1015, 798
20:24:36.320 -> 1079, 1018, 799
20:24:36.386 -> 1081, 1015, 795
20:24:36.420 -> 1082, 1018, 795
20:24:36.486 -> 1084, 1019, 799
20:24:36.519 -> 1079, 1017, 797
20:24:36.586 -> 1079, 1017, 801
20:24:36.619 -> 1077, 1018, 799
20:24:36.685 -> 1081, 1014, 800
20:24:36.719 -> 1078, 1018, 800
20:24:36.785 -> 1087, 1015, 799
20:24:36.818 -> 1114, 1013, 798
20:24:36.885 -> 1078, 1017, 799
20:24:36.918 -> 1081, 1013, 800
20:24:36.985 -> 1080, 1014, 800
20:24:37.051 -> 1079, 1016, 798
20:24:37.084 -> 1078, 1014, 795
20:24:37.151 -> 1079, 1014, 799
20:24:37.184 -> 1081, 1015, 798
20:24:37.251 -> 1084, 1013, 792
20:24:37.284 -> 1101, 1014, 801
20:24:37.350 -> 1075, 1011, 802
20:24:37.383 -> 1077, 1014, 799
20:24:37.450 -> 1079, 1014, 801
20:24:37.483 -> 1074, 1013, 798
20:24:37.550 -> 1068, 1016, 797
20:24:37.583 -> 1078, 1017, 798
20:24:37.649 -> 1077, 1015, 797
20:24:37.683 -> 1082, 1012, 798
20:24:37.749 -> 1080, 1014, 795
20:24:37.816 -> 1081, 1014, 800
20:24:37.849 -> 1073, 1020, 798
20:24:37.916 -> 1080, 1014, 802
20:24:37.949 -> 1081, 1014, 797
20:24:38.015 -> 1078, 1016, 799
20:24:38.048 -> 1083, 1013, 799
20:24:38.115 -> 1080, 1017, 802
20:24:38.148 -> 1083, 1016, 797
20:24:38.215 -> 1079, 1016, 800
20:24:38.248 -> 1078, 1015, 799
20:24:38.314 -> 1081, 1014, 798
20:24:38.348 -> 1079, 1016, 795
20:24:38.414 -> 1079, 1016, 798
20:24:38.481 -> 1082, 1015, 798
20:24:38.516 -> 1083, 1014, 798
20:24:38.580 -> 1079, 1012, 796
20:24:38.613 -> 1085, 1015, 799
20:24:38.680 -> 1079, 1012, 798
20:24:38.713 -> 1083, 1016, 795
20:24:38.780 -> 1077, 1014, 792
20:24:38.813 -> 909, 1026, 809
20:24:38.879 -> 1078, 1031, 795
20:24:38.913 -> 1080, 1014, 800
20:24:38.979 -> 1081, 1014, 797
20:24:39.012 -> 1078, 1013, 799
20:24:39.079 -> 1094, 1057, 804
20:24:39.112 -> 1078, 1014, 799
20:24:39.178 -> 1081, 1015, 800
20:24:39.245 -> 1078, 1013, 798
20:24:39.278 -> 1084, 1017, 799
20:24:39.345 -> 1084, 1014, 792
20:24:39.378 -> 1075, 1019, 794
20:24:39.444 -> 1075, 1011, 797
20:24:39.478 -> 1083, 1017, 799
20:24:39.544 -> 1077, 1018, 798
20:24:39.577 -> 1077, 1014, 800
20:24:39.644 -> 1077, 1014, 797
20:24:39.677 -> 1082, 1013, 797
20:24:39.744 -> 1086, 1012, 798
20:24:39.777 -> 1079, 1017, 795
20:24:39.843 -> 1084, 1013, 799
20:24:39.877 -> 1083, 1008, 801
20:24:39.943 -> 1077, 1014, 800
20:24:40.010 -> 1076, 1016, 799
20:24:40.043 -> 1079, 1018, 799
20:24:40.110 -> 1082, 1016, 796
20:24:40.143 -> 1080, 1020, 796
20:24:40.209 -> 1080, 1014, 795
20:24:40.243 -> 1080, 1016, 799
20:24:40.309 -> 1075, 1014, 797
20:24:40.342 -> 1133, 1014, 796
20:24:40.409 -> 1084, 1012, 798
20:24:40.442 -> 1081, 1013, 795
20:24:40.508 -> 1081, 1014, 798
20:24:40.541 -> 1078, 1013, 798
20:24:40.608 -> 1088, 1014, 800
20:24:40.674 -> 1083, 1013, 797
20:24:40.708 -> 1079, 1012, 795
20:24:40.774 -> 1079, 1014, 799
20:24:40.808 -> 1121, 1014, 795
20:24:40.874 -> 1086, 1013, 797
20:24:40.907 -> 1085, 1013, 795
20:24:40.973 -> 1196, 1013, 801
20:24:41.007 -> 1082, 1011, 799
20:24:41.073 -> 1084, 1014, 794
20:24:41.106 -> 1084, 1018, 800
20:24:41.173 -> 1108, 1016, 798
20:24:41.206 -> 1078, 1013, 771
20:24:41.273 -> 1080, 1013, 800
20:24:41.306 -> 1078, 1018, 803
20:24:41.372 -> 1082, 1015, 798
20:24:41.406 -> 1080, 1016, 800
20:24:41.472 -> 1077, 1015, 799
20:24:41.538 -> 1076, 1014, 800
20:24:41.572 -> 1075, 1016, 799
20:24:41.638 -> 1078, 1013, 797
20:24:41.672 -> 1077, 1013, 795
20:24:41.738 -> 1082, 1013, 798
20:24:41.771 -> 1080, 1014, 796
20:24:41.838 -> 1078, 1015, 799
20:24:41.871 -> 1074, 1013, 798
20:24:41.937 -> 1081, 1014, 797
20:24:41.971 -> 1081, 1017, 796
20:24:42.037 -> 1079, 1020, 801
20:24:42.070 -> 1084, 1014, 797
20:24:42.137 -> 1081, 1016, 799
20:24:42.203 -> 1083, 1018, 799
20:24:42.237 -> 1079, 1014, 797
20:24:42.303 -> 1077, 1013, 799
20:24:42.336 -> 1079, 1013, 801
20:24:42.403 -> 1079, 1013, 796
20:24:42.436 -> 1081, 1017, 798
20:24:42.503 -> 1073, 1017, 797
20:24:42.536 -> 1079, 1017, 800
20:24:42.602 -> 1079, 1017, 798
20:24:42.636 -> 1037, 1015, 800
20:24:42.702 -> 1081, 1013, 802
20:24:42.735 -> 1076, 1013, 797
20:24:42.802 -> 1086, 1014, 797
20:24:42.835 -> 1081, 1011, 798
20:24:42.902 -> 1078, 1014, 801
20:24:42.968 -> 1080, 1014, 795
20:24:43.001 -> 1081, 1016, 801
20:24:43.068 -> 1082, 1013, 800
20:24:43.101 -> 1081, 1015, 800
20:24:43.168 -> 1077, 1016, 796
20:24:43.201 -> 1081, 1017, 799
20:24:43.267 -> 1083, 1015, 798
20:24:43.301 -> 1079, 1015, 798
20:24:43.367 -> 1078, 1015, 795
20:24:43.400 -> 1079, 1016, 799
20:24:43.467 -> 1076, 1014, 798
20:24:43.500 -> 1083, 1020, 798
20:24:43.566 -> 1078, 1015, 797
20:24:43.600 -> 1075, 1015, 799
20:24:43.666 -> 1079, 1012, 800
20:24:43.733 -> 1079, 1013, 797
20:24:43.766 -> 1113, 1018, 802
20:24:43.832 -> 1077, 1016, 801
20:24:43.866 -> 1079, 1014, 799
20:24:43.932 -> 1078, 1017, 801
20:24:43.965 -> 1081, 1018, 799
20:24:44.032 -> 1078, 1012, 798
20:24:44.065 -> 1082, 1014, 795
20:24:44.131 -> 1084, 1014, 800
20:24:44.165 -> 1076, 1014, 798
20:24:44.231 -> 1081, 1013, 796
20:24:44.264 -> 1078, 1017, 797
20:24:44.331 -> 1081, 1014, 801
20:24:44.397 -> 1085, 1014, 799
20:24:44.431 -> 1079, 1014, 800
20:24:44.497 -> 1078, 1013, 797
20:24:44.530 -> 1079, 1017, 800
20:24:44.597 -> 1083, 1018, 797
20:24:44.630 -> 1071, 1014, 799
20:24:44.696 -> 1082, 1015, 802
20:24:44.730 -> 1085, 1013, 799
20:24:44.796 -> 1082, 1016, 802
20:24:44.830 -> 1084, 1013, 799
20:24:44.896 -> 1084, 1014, 800
20:24:44.930 -> 1082, 1015, 800
20:24:44.996 -> 1076, 1015, 799
20:24:45.030 -> 1079, 1016, 797
20:24:45.096 -> 1082, 1012, 797
20:24:45.129 -> 1078, 1018, 799
20:24:45.196 -> 1078, 1013, 799
20:24:45.262 -> 1080, 1014, 800
20:24:45.296 -> 1082, 1015, 799
20:24:45.362 -> 1084, 1015, 798
20:24:45.396 -> 1079, 1012, 798
20:24:45.462 -> 1086, 1014, 800
20:24:45.495 -> 1079, 1016, 800
20:24:45.562 -> 1076, 1011, 800
20:24:45.595 -> 1079, 1018, 800
20:24:45.661 -> 1099, 1013, 801
20:24:45.695 -> 1076, 1015, 799
20:24:45.761 -> 1089, 1017, 797
20:24:45.794 -> 1079, 1015, 798
20:24:45.861 -> 1082, 1014, 796
20:24:45.894 -> 1075, 1015, 798
20:24:45.961 -> 1080, 1018, 798
20:24:46.027 -> 1085, 1016, 798
20:24:46.060 -> 1069, 1018, 799
20:24:46.127 -> 1081, 1018, 797
20:24:46.160 -> 1083, 1013, 801
20:24:46.227 -> 1080, 1016, 799
20:24:46.260 -> 1080, 1014, 800
20:24:46.326 -> 1078, 1011, 800
20:24:46.359 -> 1086, 1014, 798
20:24:46.426 -> 1083, 1020, 800
20:24:46.459 -> 1078, 1016, 801
20:24:46.526 -> 1082, 1015, 798
20:24:46.559 -> 966, 1017, 805
20:24:46.625 -> 1078, 1014, 799
20:24:46.659 -> 1085, 1014, 798
20:24:46.725 -> 1080, 1017, 798
20:24:46.792 -> 1081, 1014, 797
20:24:46.825 -> 1110, 1016, 796
20:24:46.891 -> 1077, 1013, 796
20:24:46.925 -> 1081, 1016, 794
20:24:46.991 -> 1087, 1017, 799
20:24:47.024 -> 1109, 1016, 796
20:24:47.091 -> 1083, 1014, 794
20:24:47.124 -> 1078, 1014, 800
20:24:47.190 -> 1078, 1014, 799
20:24:47.224 -> 1080, 1017, 800
20:24:47.290 -> 1081, 1013, 799
20:24:47.323 -> 1081, 1017, 797
20:24:47.390 -> 1082, 1014, 797
20:24:47.456 -> 1061, 1014, 801
20:24:47.490 -> 1080, 1014, 799
20:24:47.556 -> 1081, 1011, 790
20:24:47.590 -> 1082, 1014, 801
20:24:47.656 -> 1087, 1014, 800
20:24:47.689 -> 1076, 1014, 798
20:24:47.756 -> 1080, 1012, 797
20:24:47.789 -> 1079, 1017, 799
20:24:47.856 -> 1082, 1014, 796
20:24:47.889 -> 1081, 1012, 799
20:24:47.955 -> 1074, 1014, 801
20:24:47.989 -> 1081, 1014, 798
20:24:48.055 -> 1082, 1016, 800
20:24:48.088 -> 1082, 1014, 798
20:24:48.155 -> 1078, 1018, 799
20:24:48.221 -> 1079, 1014, 800
20:24:48.255 -> 1083, 1017, 798
20:24:48.321 -> 1077, 1013, 798
20:24:48.355 -> 1079, 1017, 796
20:24:48.421 -> 1081, 1017, 799
20:24:48.454 -> 1076, 1014, 799
20:24:48.521 -> 1079, 1015, 799
20:24:48.554 -> 1079, 1014, 799
20:24:48.621 -> 1084, 1013, 800
20:24:48.654 -> 1080, 1013, 799
20:24:48.720 -> 1079, 1015, 799
20:24:48.754 -> 1082, 1015, 798
20:24:48.820 -> 1077, 1014, 801
20:24:48.853 -> 1082, 1014, 800
20:24:48.920 -> 1086, 1013, 800
20:24:48.953 -> 1077, 1015, 799
20:24:49.020 -> 1082, 1017, 800
20:24:49.086 -> 1078, 1021, 798
20:24:49.120 -> 1080, 1011, 798
20:24:49.186 -> 1081, 1014, 795
20:24:49.220 -> 1079, 1015, 797
20:24:49.286 -> 1084, 974, 799
20:24:49.320 -> 1081, 1016, 801
20:24:49.386 -> 1082, 1014, 798
20:24:49.419 -> 1078, 1016, 799
20:24:49.486 -> 1078, 1014, 800
20:24:49.519 -> 1082, 1015, 799
20:24:49.585 -> 1082, 1013, 798
20:24:49.619 -> 1080, 1016, 800
20:24:49.685 -> 1078, 1017, 799
20:24:49.752 -> 1081, 1017, 798
20:24:49.785 -> 1081, 1008, 799
20:24:49.852 -> 1084, 1014, 798
20:24:49.885 -> 1076, 1017, 798
20:24:49.951 -> 1078, 1013, 798
20:24:49.985 -> 1082, 1012, 799
20:24:50.051 -> 1082, 1014, 798
20:24:50.084 -> 1161, 1033, 815
20:24:50.151 -> 1455, 1015, 796
20:24:50.184 -> 1600, 1021, 804
20:24:50.250 -> 1505, 1017, 798
20:24:50.284 -> 1422, 1021, 800
20:24:50.350 -> 1456, 1017, 798
20:24:50.383 -> 1485, 1017, 801
20:24:50.450 -> 1485, 1016, 798
20:24:50.483 -> 1487, 1021, 799
20:24:50.549 -> 1492, 1021, 802
20:24:50.616 -> 1488, 1018, 798
20:24:50.649 -> 1577, 1018, 799
20:24:50.716 -> 1488, 1018, 800
20:24:50.749 -> 1488, 1073, 798
20:24:50.815 -> 1488, 1018, 802
20:24:50.849 -> 1488, 1019, 800
20:24:50.915 -> 1489, 1019, 802
20:24:50.949 -> 1488, 1016, 799
20:24:51.015 -> 1495, 1019, 800
20:24:51.048 -> 1489, 1018, 801
20:24:51.115 -> 1489, 1018, 795
20:24:51.148 -> 1489, 1017, 794
20:24:51.215 -> 1488, 1016, 800
20:24:51.281 -> 1491, 1015, 800
20:24:51.314 -> 1485, 1015, 800
20:24:51.381 -> 1488, 1019, 802
20:24:51.414 -> 1489, 1016, 797
20:24:51.481 -> 1488, 1016, 800
20:24:51.514 -> 1488, 1020, 799
20:24:51.581 -> 1488, 1015, 800
20:24:51.614 -> 1490, 1016, 797
20:24:51.680 -> 1488, 1016, 801
20:24:51.714 -> 1488, 1017, 799
20:24:51.780 -> 1491, 1022, 799
20:24:51.813 -> 1489, 1020, 803
20:24:51.880 -> 1489, 1017, 797
20:24:51.913 -> 1493, 1020, 800
20:24:51.980 -> 1488, 986, 801
20:24:52.046 -> 1490, 1018, 798
20:24:52.079 -> 1488, 959, 801
20:24:52.146 -> 1490, 1018, 800
20:24:52.179 -> 1490, 1017, 801
20:24:52.246 -> 1493, 1020, 801
20:24:52.279 -> 1488, 1018, 797
20:24:52.346 -> 1489, 1019, 798
20:24:52.379 -> 1488, 1015, 799
20:24:52.445 -> 1491, 1015, 797
20:24:52.478 -> 1488, 1015, 801
20:24:52.545 -> 1489, 1017, 802
20:24:52.578 -> 1489, 1019, 800
20:24:52.645 -> 1489, 1007, 801
20:24:52.678 -> 1488, 1017, 805
20:24:52.744 -> 1488, 1015, 799
20:24:52.811 -> 1488, 1015, 801
20:24:52.844 -> 1490, 1019, 801
20:24:52.911 -> 1490, 1016, 796
20:24:52.944 -> 1491, 1013, 798
20:24:53.010 -> 1489, 1017, 801
20:24:53.044 -> 1490, 1018, 801
20:24:53.110 -> 1489, 1015, 799
20:24:53.143 -> 1491, 1018, 801
20:24:53.210 -> 1489, 1016, 799
20:24:53.243 -> 1488, 1018, 800
20:24:53.310 -> 1491, 1021, 798
20:24:53.343 -> 1488, 1017, 798
20:24:53.409 -> 1488, 1018, 799
20:24:53.443 -> 1490, 1018, 799
20:24:53.509 -> 1490, 1014, 798
20:24:53.576 -> 1489, 1021, 801
20:24:53.609 -> 1500, 1017, 800
20:24:53.675 -> 1488, 1018, 799
20:24:53.709 -> 1488, 1017, 800
20:24:53.775 -> 1492, 1014, 800
20:24:53.808 -> 1487, 1014, 801
20:24:53.875 -> 1488, 1018, 800
20:24:53.908 -> 1488, 1019, 804
20:24:53.975 -> 1488, 1018, 801
20:24:54.008 -> 1489, 1019, 802
20:24:54.074 -> 1490, 1015, 799
20:24:54.108 -> 1488, 1020, 802
20:24:54.174 -> 1493, 1018, 800
20:24:54.207 -> 1489, 1017, 801
20:24:54.274 -> 1489, 1018, 799
20:24:54.340 -> 1489, 1017, 799
20:24:54.374 -> 1491, 1035, 805
20:24:54.440 -> 1491, 1017, 800
20:24:54.473 -> 1487, 1020, 797
20:24:54.540 -> 1488, 1015, 801
20:24:54.573 -> 1489, 1014, 800
20:24:54.639 -> 1488, 1021, 802
20:24:54.673 -> 1487, 1015, 801
20:24:54.739 -> 1488, 1016, 803
20:24:54.772 -> 1493, 1018, 801
20:24:54.839 -> 1487, 1019, 800
20:24:54.872 -> 1492, 1021, 801
20:24:54.938 -> 1489, 1017, 799
20:24:54.972 -> 1490, 1019, 802
20:24:55.038 -> 1486, 1018, 799
20:24:55.105 -> 1491, 1018, 803
20:24:55.138 -> 1490, 1016, 800
20:24:55.204 -> 1492, 1016, 800
20:24:55.237 -> 1488, 1018, 799
20:24:55.304 -> 1488, 1017, 801
20:24:55.337 -> 1488, 1015, 804
20:24:55.404 -> 1490, 1017, 800
20:24:55.437 -> 1490, 1015, 800
20:24:55.504 -> 1492, 1015, 804
20:24:55.537 -> 1490, 1018, 802
20:24:55.603 -> 1492, 1020, 801
20:24:55.637 -> 1488, 1018, 798
20:24:55.703 -> 1489, 1018, 802
20:24:55.736 -> 1490, 1015, 798
20:24:55.803 -> 1488, 1018, 800
20:24:55.869 -> 1488, 1011, 801
20:24:55.902 -> 1488, 1017, 802
20:24:55.969 -> 1489, 1021, 803
20:24:56.002 -> 1490, 1018, 802
20:24:56.069 -> 1490, 1020, 800
20:24:56.102 -> 1489, 1018, 802
20:24:56.168 -> 1490, 1019, 805
20:24:56.202 -> 1490, 1017, 803
20:24:56.268 -> 1489, 1020, 800
20:24:56.302 -> 1488, 1018, 802
20:24:56.368 -> 1489, 1014, 802
20:24:56.401 -> 1489, 1018, 800
20:24:56.468 -> 1488, 1028, 801
20:24:56.534 -> 1489, 1007, 803
20:24:56.567 -> 1488, 1018, 799
20:24:56.634 -> 1488, 1019, 800
20:24:56.667 -> 1491, 1018, 801
20:24:56.734 -> 1492, 1020, 801
20:24:56.767 -> 1489, 1018, 802
20:24:56.833 -> 1488, 1017, 800
20:24:56.867 -> 1488, 1020, 802
20:24:56.933 -> 1493, 1017, 803
20:24:56.966 -> 1490, 1018, 802
20:24:57.033 -> 1488, 1018, 801
20:24:57.066 -> 1463, 1029, 805
20:24:57.133 -> 1488, 1015, 803
20:24:57.166 -> 1489, 1017, 801
20:24:57.232 -> 1489, 1018, 802
20:24:57.299 -> 1491, 1019, 800
20:24:57.332 -> 1487, 1017, 802
20:24:57.398 -> 1496, 1021, 801
20:24:57.432 -> 1486, 1017, 803
20:24:57.498 -> 1489, 1017, 801
20:24:57.531 -> 1488, 1017, 801
20:24:57.598 -> 1489, 1017, 800
20:24:57.631 -> 1492, 1015, 801
20:24:57.698 -> 1492, 1018, 799
20:24:57.731 -> 1493, 1018, 800
20:24:57.797 -> 1493, 1020, 803
20:24:57.831 -> 1489, 1019, 806
20:24:57.897 -> 1492, 1020, 802
20:24:57.930 -> 1486, 1016, 801
20:24:57.997 -> 1488, 1018, 801
20:24:58.063 -> 1489, 1015, 802
20:24:58.096 -> 1488, 1018, 802
20:24:58.163 -> 1491, 1013, 802
20:24:58.196 -> 1494, 1016, 800
20:24:58.263 -> 1490, 1017, 799
20:24:58.296 -> 1494, 1019, 799
20:24:58.362 -> 1490, 1019, 800
20:24:58.396 -> 1490, 1017, 803
20:24:58.462 -> 1488, 1014, 801
20:24:58.495 -> 1492, 1018, 804
20:24:58.562 -> 1490, 1017, 803
20:24:58.595 -> 1488, 1020, 800
20:24:58.661 -> 1487, 1020, 802
20:24:58.694 -> 1518, 1020, 807
20:24:58.761 -> 1491, 1018, 803
20:24:58.827 -> 1488, 1020, 799
20:24:58.861 -> 1522, 1019, 807
20:24:58.927 -> 1586, 1018, 801
20:24:58.960 -> 1586, 1017, 800
20:24:59.027 -> 1592, 1016, 800
20:24:59.060 -> 1586, 1018, 802
20:24:59.126 -> 1588, 1020, 800
20:24:59.160 -> 1586, 1027, 801
20:24:59.226 -> 1590, 1016, 800
20:24:59.259 -> 1590, 1018, 803
20:24:59.326 -> 1588, 1020, 800
20:24:59.359 -> 1587, 1018, 800
20:24:59.425 -> 1587, 1018, 804
20:24:59.492 -> 1587, 1016, 800
20:24:59.525 -> 1589, 1013, 805
20:24:59.592 -> 1586, 1018, 802
20:24:59.625 -> 1588, 1017, 803
20:24:59.691 -> 1587, 1017, 804
20:24:59.725 -> 1587, 1018, 803
20:24:59.791 -> 1586, 1016, 802
20:24:59.824 -> 1584, 1015, 804
20:24:59.891 -> 1586, 1018, 799
20:24:59.924 -> 1589, 1018, 802
20:24:59.991 -> 1589, 1019, 801
20:25:00.024 -> 1588, 1015, 802
20:25:00.090 -> 1587, 1020, 800
20:25:00.124 -> 1590, 1015, 802
20:25:00.190 -> 1589, 1015, 801
20:25:00.257 -> 1584, 1015, 802
20:25:00.290 -> 1586, 1018, 801
20:25:00.356 -> 1585, 1020, 805
20:25:00.390 -> 1588, 1017, 802
20:25:00.456 -> 1584, 1019, 802
20:25:00.489 -> 1584, 1015, 801
20:25:00.556 -> 1589, 1015, 800
20:25:00.589 -> 1588, 1018, 801
20:25:00.655 -> 1589, 1014, 808
20:25:00.689 -> 1587, 1013, 801
20:25:00.755 -> 1594, 1017, 799
20:25:00.788 -> 1594, 1004, 802
20:25:00.855 -> 1592, 1015, 801
20:25:00.888 -> 1588, 1018, 800
20:25:00.954 -> 1590, 1018, 802
20:25:01.021 -> 1597, 1018, 801
20:25:01.054 -> 1592, 1015, 802
20:25:01.121 -> 1587, 1015, 801
20:25:01.154 -> 1589, 1017, 800
20:25:01.220 -> 1586, 1015, 802
20:25:01.254 -> 1586, 1015, 801
20:25:01.320 -> 1591, 1015, 802
20:25:01.353 -> 1588, 1016, 805
20:25:01.420 -> 1590, 1018, 802
20:25:01.453 -> 1586, 1018, 804
20:25:01.519 -> 1590, 1017, 802
20:25:01.553 -> 1592, 1015, 802
20:25:01.619 -> 1584, 1014, 802
20:25:01.652 -> 1594, 1014, 801
20:25:01.719 -> 1588, 1020, 805
20:25:01.785 -> 1587, 1017, 802
20:25:01.819 -> 1593, 1018, 803
20:25:01.885 -> 1591, 1018, 800
20:25:01.918 -> 1593, 1016, 804
20:25:01.985 -> 1595, 1019, 800
20:25:02.018 -> 1595, 1017, 804
20:25:02.084 -> 1592, 1018, 805
20:25:02.118 -> 1589, 1015, 801
20:25:02.184 -> 1593, 1017, 804
20:25:02.217 -> 1590, 1005, 802
20:25:02.284 -> 1584, 1017, 800
20:25:02.317 -> 1587, 1020, 800
20:25:02.383 -> 1584, 1015, 802
20:25:02.450 -> 1591, 1022, 801
20:25:02.483 -> 1588, 1015, 802
20:25:02.549 -> 1578, 1017, 805
20:25:02.583 -> 1588, 1019, 800
20:25:02.649 -> 1590, 1016, 802
20:25:02.682 -> 1590, 1019, 802
20:25:02.749 -> 1600, 1039, 820
20:25:02.782 -> 1329, 1023, 818
20:25:02.848 -> 1003, 1029, 804
20:25:02.881 -> 1040, 1019, 802
20:25:02.948 -> 1078, 1013, 806
20:25:02.981 -> 1084, 1014, 800
20:25:03.048 -> 1082, 1013, 802
20:25:03.081 -> 1071, 1013, 801
20:25:03.147 -> 1088, 1013, 801
20:25:03.214 -> 1082, 1011, 802
20:25:03.247 -> 1080, 1030, 801
20:25:03.314 -> 1084, 1016, 801
20:25:03.347 -> 1088, 1013, 803
20:25:03.413 -> 1080, 1013, 802
20:25:03.446 -> 1081, 1014, 800
20:25:03.513 -> 1083, 1015, 802
20:25:03.546 -> 1084, 1014, 801
20:25:03.613 -> 1085, 1012, 802
20:25:03.646 -> 1083, 1016, 801
20:25:03.712 -> 1089, 1015, 805
