20:23:20.424 -> A, B, C
20:23:39.063 -> 993, 1024, 794
20:23:39.096 -> 993, 1020, 794
20:23:39.162 -> 995, 1022, 790
20:23:39.195 -> 993, 1027, 790
20:23:39.262 -> 994, 1022, 790
20:23:39.295 -> 994, 1022, 794
20:23:39.362 -> 992, 1025, 792
20:23:39.395 -> 1000, 1021, 794
20:23:39.461 -> 995, 1022, 797
20:23:39.494 -> 995, 1026, 790
20:23:39.561 -> 991, 1027, 791
20:23:39.627 -> 984, 1028, 794
20:23:39.660 -> 999, 1023, 796
20:23:39.727 -> 995, 1022, 792
20:23:39.760 -> 994, 1027, 790
20:23:39.827 -> 993, 1020, 796
20:23:39.860 -> 995, 1020, 792
20:23:39.927 -> 992, 1021, 788
20:23:39.960 -> 995, 1019, 792
20:23:40.026 -> 996, 1019, 792
20:23:40.059 -> 992, 1021, 793
20:23:40.126 -> 992, 1022, 790
20:23:40.159 -> 993, 1021, 794
20:23:40.226 -> 994, 1021, 793
20:23:40.292 -> 995, 1022, 793
20:23:40.325 -> 994, 1023, 793
20:23:40.392 -> 996, 1021, 794
20:23:40.425 -> 993, 1023, 795
20:23:40.491 -> 997, 1022, 796
20:23:40.524 -> 998, 1023, 791
20:23:40.591 -> 994, 1026, 791
20:23:40.624 -> 991, 1022, 794
20:23:40.691 -> 992, 1029, 798
20:23:40.724 -> 993, 1022, 794
20:23:40.790 -> 992, 1020, 796
20:23:40.823 -> 996, 1036, 790
20:23:40.890 -> 998, 1021, 791
20:23:40.923 -> 994, 1022, 791
20:23:40.990 -> 994, 1025, 790
20:23:41.023 -> 994, 998, 794
20:23:41.089 -> 993, 1021, 790
20:23:41.156 -> 1002, 1022, 794
20:23:41.189 -> 996, 1030, 790
20:23:41.255 -> 998, 1026, 795
20:23:41.289 -> 992, 1020, 791
20:23:41.355 -> 995, 1022, 790
20:23:41.388 -> 996, 1018, 797
20:23:41.454 -> 996, 1022, 791
20:23:41.488 -> 994, 1023, 790
20:23:41.554 -> 997, 1021, 790
20:23:41.587 -> 994, 1023, 796
20:23:41.654 -> 998, 1020, 795
20:23:41.687 -> 995, 1020, 791
20:23:41.754 -> 995, 1018, 796
20:23:41.820 -> 991, 1021, 792
20:23:41.853 -> 994, 1019, 791
20:23:41.920 -> 990, 1028, 793
20:23:41.953 -> 994, 1022, 792
20:23:42.020 -> 997, 1021, 792
20:23:42.053 -> 993, 1022, 793
20:23:42.119 -> 999, 1021, 789
20:23:42.153 -> 993, 1022, 789
20:23:42.219 -> 994, 1027, 794
20:23:42.252 -> 995, 1026, 797
20:23:42.319 -> 996, 1022, 793
20:23:42.352 -> 995, 1022, 791
20:23:42.419 -> 994, 1021, 791
20:23:42.452 -> 990, 1021, 794
20:23:42.518 -> 995, 1027, 791
20:23:42.585 -> 1000, 1021, 791
20:23:42.618 -> 999, 1028, 792
20:23:42.684 -> 990, 1022, 793
20:23:42.717 -> 997, 1022, 793
20:23:42.784 -> 994, 1022, 791
20:23:42.817 -> 904, 1027, 801
20:23:42.883 -> 998, 1022, 795
20:23:42.917 -> 995, 1019, 792
20:23:42.983 -> 990, 1021, 791
20:23:43.016 -> 992, 1032, 794
20:23:43.083 -> 993, 1022, 794
20:23:43.116 -> 997, 1026, 790
20:23:43.183 -> 992, 1022, 795
20:23:43.249 -> 992, 1025, 794
20:23:43.282 -> 995, 1023, 794
20:23:43.349 -> 993, 1019, 791
20:23:43.382 -> 993, 1037, 792
20:23:43.448 -> 996, 1021, 794
20:23:43.482 -> 996, 1022, 791
20:23:43.548 -> 997, 1028, 796
20:23:43.581 -> 992, 1021, 794
20:23:43.648 -> 994, 1021, 793
20:23:43.681 -> 995, 1022, 791
20:23:43.747 -> 998, 1022, 791
20:23:43.780 -> 996, 1021, 794
20:23:43.847 -> 996, 1026, 795
20:23:43.880 -> 991, 1026, 794
20:23:43.946 -> 995, 1022, 793
20:23:44.013 -> 1001, 1022, 787
20:23:44.046 -> 994, 1024, 794
20:23:44.113 -> 994, 1022, 791
20:23:44.146 -> 995, 1021, 792
20:23:44.212 -> 993, 1029, 790
20:23:44.246 -> 998, 1021, 791
20:23:44.312 -> 998, 1019, 790
20:23:44.345 -> 991, 1027, 794
20:23:44.412 -> 980, 1021, 795
20:23:44.445 -> 991, 1020, 794
20:23:44.511 -> 998, 1021, 790
20:23:44.545 -> 993, 1021, 793
20:23:44.611 -> 995, 1020, 787
20:23:44.644 -> 995, 1020, 793
20:23:44.711 -> 994, 1015, 792
20:23:44.777 -> 996, 1020, 795
20:23:44.810 -> 994, 1036, 793
20:23:44.877 -> 991, 1022, 792
20:23:44.910 -> 992, 1018, 792
20:23:44.977 -> 996, 1019, 791
20:23:45.010 -> 992, 1022, 793
20:23:45.076 -> 993, 1019, 793
20:23:45.109 -> 992, 1022, 795
20:23:45.176 -> 995, 1027, 790
20:23:45.209 -> 992, 1027, 790
20:23:45.276 -> 939, 1022, 788
20:23:45.309 -> 994, 1023, 791
20:23:45.375 -> 992, 1021, 795
20:23:45.442 -> 992, 1025, 795
20:23:45.475 -> 994, 1023, 795
20:23:45.542 -> 994, 1020, 790
20:23:45.575 -> 997, 1022, 794
20:23:45.641 -> 995, 1021, 795
20:23:45.674 -> 994, 904, 793
20:23:45.741 -> 994, 1021, 793
20:23:45.774 -> 993, 1026, 791
20:23:45.841 -> 992, 1022, 797
20:23:45.874 -> 991, 1021, 788
20:23:45.940 -> 994, 1021, 794
20:23:45.973 -> 992, 1023, 792
20:23:46.040 -> 992, 1020, 791
20:23:46.073 -> 996, 1022, 790
20:23:46.140 -> 994, 1022, 793
20:23:46.206 -> 994, 1029, 794
20:23:46.239 -> 993, 1041, 791
20:23:46.306 -> 994, 1023, 795
20:23:46.339 -> 994, 1022, 791
20:23:46.405 -> 996, 1026, 791
20:23:46.439 -> 993, 1017, 791
20:23:46.505 -> 994, 1027, 794
20:23:46.538 -> 994, 1021, 790
20:23:46.605 -> 995, 1021, 793
20:23:46.638 -> 992, 1021, 795
20:23:46.705 -> 993, 1024, 797
20:23:46.738 -> 992, 1013, 795
20:23:46.804 -> 996, 1020, 789
20:23:46.871 -> 997, 1027, 793
20:23:46.904 -> 993, 1019, 794
20:23:46.970 -> 993, 1291, 799
20:23:47.003 -> 992, 1022, 792
20:23:47.070 -> 991, 1022, 796
20:23:47.103 -> 997, 1013, 789
20:23:47.170 -> 994, 1020, 790
20:23:47.203 -> 997, 1030, 790
20:23:47.269 -> 997, 1022, 794
20:23:47.302 -> 993, 1026, 792
20:23:47.369 -> 994, 1021, 792
20:23:47.402 -> 994, 1020, 793
20:23:47.469 -> 992, 1022, 794
20:23:47.502 -> 997, 1023, 797
20:23:47.568 -> 994, 1024, 791
20:23:47.635 -> 914, 1022, 795
20:23:47.668 -> 995, 1021, 791
20:23:47.735 -> 997, 1021, 788
20:23:47.768 -> 990, 1026, 793
20:23:47.834 -> 994, 1022, 793
20:23:47.867 -> 992, 1027, 787
20:23:47.934 -> 991, 1026, 798
20:23:47.967 -> 994, 1019, 795
20:23:48.033 -> 991, 1027, 793
20:23:48.067 -> 993, 1022, 796
20:23:48.133 -> 994, 1016, 789
20:23:48.166 -> 992, 1025, 791
20:23:48.233 -> 994, 1022, 790
20:23:48.266 -> 994, 1024, 794
20:23:48.333 -> 993, 970, 792
20:23:48.399 -> 994, 1021, 793
20:23:48.432 -> 993, 1023, 792
20:23:48.499 -> 994, 1020, 793
20:23:48.532 -> 994, 1026, 792
20:23:48.598 -> 998, 1024, 791
20:23:48.632 -> 994, 1015, 788
20:23:48.698 -> 997, 1022, 789
20:23:48.731 -> 996, 1021, 795
20:23:48.798 -> 994, 1021, 791
20:23:48.831 -> 995, 1013, 789
20:23:48.897 -> 1007, 1022, 796
20:23:48.930 -> 995, 1022, 796
20:23:48.997 -> 991, 1020, 794
20:23:49.030 -> 994, 1028, 796
20:23:49.097 -> 992, 1020, 796
20:23:49.163 -> 992, 1020, 797
20:23:49.196 -> 994, 1023, 796
20:23:49.263 -> 980, 1020, 796
20:23:49.296 -> 995, 1019, 794
20:23:49.362 -> 997, 1023, 798
20:23:49.395 -> 996, 1022, 791
20:23:49.462 -> 994, 1022, 792
20:23:49.495 -> 992, 1022, 792
20:23:49.562 -> 980, 1022, 792
20:23:49.595 -> 999, 1019, 789
